0 RMx(value) RMy(value) RFz(value) 
4.85489 0 0 0 
4.85989 0 0 0 
4.86489 0 0 0 
4.86991 0 0 0 
4.87489 0 0 0 
4.87989 0 0 0 
4.88489 0 0 0 
4.88991 0 0 0 
4.89489 0 0 0 
4.89991 0 0 0 
4.90489 0 0 0 
4.90989 0 0 0 
4.91489 0 0 0 
4.91986 0 0 0 
4.92486 0 0 0 
4.92986 0 0 0 
4.93489 0 0 0 
4.93991 0 0 0 
4.94489 0 0 0 
4.94989 0 0 0 
4.95489 0 0 0 
4.95989 0 0 0 
4.96486 0 0 0 
4.96991 0 0 0 
4.97489 0 0 0 
4.97991 0 0 0 
4.98489 0 0 0 
4.98991 0 0 0 
4.99489 0 0 0 
4.99989 0 0 0 
5.00489 0 0 0 
5.00989 0 0 0 
5.01489 0 0 0 
5.01991 0 0 0 
5.02489 0 0 0 
5.02989 0 0 0 
5.03489 0 0 0 
5.03989 0 0 0 
5.04489 0 0 0 
5.04991 0 0 0 
5.05489 0 0 0 
5.05992 0 0 0 
5.06489 0 0 0 
5.06986 0 0 0 
5.07485 0 0 0 
5.07986 0 0 0 
5.0849 0 0 0 
5.08991 0 0 0 
5.09489 0 0 0 
5.09991 0 0 0 
5.10489 0 0 0 
5.1099 0 0 0 
5.11489 0 0 0 
5.11986 0 0 0 
5.12489 0 0 0 
5.12989 0 0 0 
5.13489 0 0 0 
5.13991 0 0 0 
5.14489 0 0 0 
5.14991 0 0 0 
5.15489 0 0 0 
5.15989 0 0 0 
5.16489 0 0 0 
5.16989 0 0 0 
5.17489 0 0 0 
5.17989 0 0 0 
5.18489 0 0 0 
5.18991 0 0 0 
5.19485 0 0 0 
5.19984 0 0 0 
5.20498 0 0 0 
5.20991 0 0 0 
5.21489 0 0 0 
5.21986 0 0 0 
5.22489 0 0 0 
5.22989 0 0 0 
5.23489 0 0 0 
5.23989 0 0 0 
5.24484 0 0 0 
5.24991 0 0 0 
5.25484 0 0 0 
5.25991 0 0 0 
5.26489 0 0 0 
5.26989 0 0 0 
5.27486 0 0 0 
5.27989 0 0 0 
5.28483 0 0 0 
5.28991 0 0 0 
5.29489 0 0 0 
5.29991 0 0 0 
5.30489 0 0 0 
5.30986 0 0 0 
5.31489 0 0 0 
5.31989 0 0 0 
5.32489 0 0 0 
5.3299 0 0 0 
5.33489 0 0 0 
5.33991 0 0 0 
5.34489 0 0 0 
5.34989 0 0 0 
5.35489 0 0 0 
5.35989 0 0 0 
5.36489 0 0 0 
5.36985 0 0 0 
5.37489 0 0 0 
5.3799 0 0 0 
5.38489 0 0 0 
5.38991 0 0 0 
5.39489 0 0 0 
5.39989 0 0 0 
5.40489 0 0 0 
5.40991 0 0 0 
5.41489 0 0 0 
5.4199 0 0 0 
5.42489 0 0 0 
5.4299 0 0 0 
5.43489 0 0 0 
5.43986 0 0 0 
5.44489 0 0 0 
5.44983 0 0 0 
5.45489 0 0 0 
5.45991 0 0 0 
5.46489 0 0 0 
5.4699 0 0 0 
5.47489 0 0 0 
5.47989 0 0 0 
5.48489 0 0 0 
5.48989 0 0 0 
5.49489 0 0 0 
5.49989 0 0 0 
5.50486 0 0 0 
5.50991 0 0 0 
5.51489 0 0 0 
5.51984 0 0 0 
5.52487 0 0 0 
5.52986 0 0 0 
5.53489 0 0 0 
5.53989 0 0 0 
5.54489 0 0 0 
5.54985 0 0 0 
5.55487 0 0 0 
5.55987 0 0 0 
5.56489 0 0 0 
5.56989 0 0 0 
5.57489 0 0 0 
5.57991 0 0 0 
5.58489 0 0 0 
5.58989 0 0 0 
5.59489 0 0 0 
5.59989 0 0 0 
5.60487 0 0 0 
5.60991 0 0 0 
5.6149 0 0 0 
5.61991 0 0 0 
5.62487 0 0 0 
5.62991 0 0 0 
5.63489 0 0 0 
5.63989 0 0 0 
5.64489 0 0 0 
5.6499 0 0 0 
5.65489 0 0 0 
5.65991 0 0 0 
5.66489 0 0 0 
5.66986 0 0 0 
5.67489 0 0 0 
5.67989 0 0 0 
5.68483 0 0 0 
5.68984 0 0 0 
5.69484 0 0 0 
5.69987 0 0 0 
5.70482 0 0 0 
5.70982 0 0 0 
5.71487 0 0 0 
5.71983 0 0 0 
5.72487 0 0 0 
5.72991 0 0 0 
5.7349 0 0 0 
5.7399 0 0 0 
5.74486 0 0 0 
5.74991 0 0 0 
5.75484 0 0 0 
5.75989 0 0 0 
5.76489 0 0 0 
5.76989 0 0 0 
5.77489 0 0 0 
5.77991 0 0 0 
